Mode,Affinity (kcal/mol),RMSD lower bound,RMSD upper bound
1,-6.5,0.000,0.000
2,-6.3,8.245,11.272
3,-6.3,1.489,2.267
4,-6.2,1.935,2.777
5,-6.1,2.163,2.872
6,-6.1,1.581,2.088
7,-6.0,2.284,3.441
8,-5.9,2.235,2.746
9,-5.9,13.474,16.431
