Mode,Affinity (kcal/mol),RMSD lower bound,RMSD upper bound
1,-7.4,0.000,0.000
2,-7.4,1.807,2.358
3,-7.1,6.946,9.129
4,-7.0,3.819,7.128
5,-7.0,2.653,10.147
6,-7.0,7.597,12.828
7,-6.8,2.289,10.218
8,-6.8,4.162,7.444
9,-6.8,1.307,1.940
