Mode,Affinity (kcal/mol),RMSD lower bound,RMSD upper bound
1,-6.5,0.000,0.000
2,-6.4,20.793,24.162
3,-6.3,8.688,10.278
4,-6.3,0.962,2.226
5,-6.3,6.129,9.014
6,-6.2,4.924,9.596
7,-6.2,1.825,2.442
8,-6.2,5.049,9.571
9,-6.2,2.748,3.629
