Mode,Affinity (kcal/mol),RMSD lower bound,RMSD upper bound
1,-6.4,0.000,0.000
2,-6.1,3.034,3.983
3,-5.8,2.997,4.656
4,-5.8,9.670,12.132
5,-5.7,4.655,7.205
6,-5.6,9.288,12.353
7,-5.6,3.181,4.261
8,-5.6,4.037,6.397
9,-5.5,3.141,4.378
