Mode,Affinity (kcal/mol),RMSD lower bound,RMSD upper bound
1,-5.8,0.000,0.000
2,-5.8,8.837,11.583
3,-5.7,4.058,7.781
4,-5.6,1.770,2.488
5,-5.6,6.422,8.186
6,-5.5,9.289,11.871
7,-5.4,1.677,8.472
8,-5.4,7.363,10.585
9,-5.4,10.872,12.937
