Mode,Affinity (kcal/mol),RMSD lower bound,RMSD upper bound
1,-7.0,0.000,0.000
2,-6.6,1.364,1.806
3,-6.5,3.631,9.332
4,-6.4,2.576,8.620
5,-6.4,3.609,4.468
6,-6.3,6.448,9.003
7,-6.3,3.711,4.434
8,-6.2,9.096,13.507
9,-6.1,7.427,12.139
