Mode,Affinity (kcal/mol),RMSD lower bound,RMSD upper bound
1,-7.1,0.000,0.000
2,-6.8,9.200,12.895
3,-6.7,5.926,7.129
4,-6.6,2.551,3.285
5,-6.6,6.304,9.567
6,-6.5,6.781,7.783
7,-6.5,6.026,7.010
8,-6.5,6.388,10.394
9,-6.3,4.146,11.017
