Mode,Affinity (kcal/mol),RMSD lower bound,RMSD upper bound
1,-6.8,0.000,0.000
2,-6.7,1.584,1.826
3,-6.5,1.221,1.689
4,-6.5,2.721,3.373
5,-6.4,1.747,2.354
6,-6.2,2.220,2.753
7,-6.2,5.957,6.710
8,-6.1,2.594,3.412
9,-6.1,8.486,11.339
