Mode,Affinity (kcal/mol),RMSD lower bound,RMSD upper bound
1,-6.2,0.000,0.000
2,-6.2,1.900,2.374
3,-6.1,1.058,2.231
4,-5.9,2.939,10.309
5,-5.9,1.620,2.601
6,-5.8,1.536,2.426
7,-5.8,1.757,2.350
8,-5.8,6.478,8.029
9,-5.6,2.180,2.829
