Mode,Affinity (kcal/mol),RMSD lower bound,RMSD upper bound
1,-6.5,0.000,0.000
2,-6.3,1.874,3.443
3,-6.3,1.817,2.962
4,-6.3,1.382,6.496
5,-6.0,2.757,3.030
6,-6.0,2.638,6.442
7,-6.0,1.159,5.839
8,-5.9,2.001,3.213
9,-5.9,1.648,5.972
