Mode,Affinity (kcal/mol),RMSD lower bound,RMSD upper bound
1,-8.0,0.000,0.000
2,-7.9,3.946,10.460
3,-7.9,4.216,7.767
4,-7.6,8.001,13.589
5,-7.6,4.168,10.833
6,-7.6,4.057,7.147
7,-7.6,4.015,7.780
8,-7.5,4.301,9.256
9,-7.5,3.579,9.031
