Mode,Affinity (kcal/mol),RMSD lower bound,RMSD upper bound
1,-7.7,0.000,0.000
2,-7.3,2.184,8.409
3,-7.2,2.313,3.980
4,-7.2,1.726,2.551
5,-7.2,5.435,6.892
6,-7.1,2.393,8.323
7,-7.0,2.477,8.300
8,-6.9,2.037,3.598
9,-6.9,2.837,8.595
