Mode,Affinity (kcal/mol),RMSD lower bound,RMSD upper bound
1,-7.4,0.000,0.000
2,-7.3,2.110,11.648
3,-7.3,2.687,11.678
4,-7.0,9.702,13.319
5,-6.7,1.971,2.267
6,-6.7,2.821,11.976
7,-6.7,10.193,14.062
8,-6.5,6.302,11.868
9,-6.5,3.382,12.412
