Mode,Affinity (kcal/mol),RMSD lower bound,RMSD upper bound
1,-6.5,0.000,0.000
2,-6.5,0.636,9.952
3,-6.4,7.767,12.712
4,-6.3,2.501,3.303
5,-6.2,1.702,2.253
6,-6.2,7.551,12.432
7,-6.2,7.054,10.942
8,-6.2,6.845,12.215
9,-6.2,2.875,10.259
