Mode,Affinity (kcal/mol),RMSD lower bound,RMSD upper bound
1,-7.8,0.000,0.000
2,-7.6,4.247,6.834
3,-7.4,3.285,5.799
4,-7.2,2.565,7.702
5,-7.2,4.781,7.751
6,-7.1,2.908,5.047
7,-7.0,6.315,8.974
8,-6.9,2.656,4.075
9,-6.9,3.767,6.737
