Mode,Affinity (kcal/mol),RMSD lower bound,RMSD upper bound
1,-5.6,0.000,0.000
2,-5.5,2.429,3.743
3,-5.5,12.090,14.506
4,-5.5,2.441,4.110
5,-5.4,10.467,12.074
6,-5.4,1.409,2.094
7,-5.3,3.020,7.357
8,-5.1,2.698,6.856
9,-5.0,3.834,5.919
