Mode,Affinity (kcal/mol),RMSD lower bound,RMSD upper bound
1,-6.1,0.000,0.000
2,-6.1,2.037,4.637
3,-6.0,2.152,5.280
4,-5.9,1.527,2.163
5,-5.8,3.007,6.181
6,-5.8,2.206,6.271
7,-5.8,12.819,15.187
8,-5.5,2.448,6.439
9,-5.5,2.082,2.818
