Mode,Affinity (kcal/mol),RMSD lower bound,RMSD upper bound
1,-7.2,0.000,0.000
2,-7.2,2.116,2.514
3,-7.1,4.241,12.157
4,-7.0,1.918,2.398
5,-6.8,3.104,4.423
6,-6.7,4.609,12.271
7,-6.7,4.160,12.213
8,-6.5,1.810,2.897
9,-6.5,2.220,2.847
