Mode,Affinity (kcal/mol),RMSD lower bound,RMSD upper bound
1,-6.1,0.000,0.000
2,-6.0,2.841,3.628
3,-5.9,0.990,1.179
4,-5.6,4.441,6.214
5,-5.5,3.798,5.498
6,-5.5,2.566,4.195
7,-5.4,2.791,4.051
8,-5.4,2.256,3.144
9,-5.2,3.655,4.528
