Mode,Affinity (kcal/mol),RMSD lower bound,RMSD upper bound
1,-7.1,0.000,0.000
2,-7.1,0.634,10.247
3,-7.0,1.939,10.174
4,-7.0,1.956,3.145
5,-6.9,1.141,10.207
6,-6.9,2.006,2.511
7,-6.8,1.142,2.179
8,-6.8,1.313,2.007
9,-6.7,2.269,3.498
