Mode,Affinity (kcal/mol),RMSD lower bound,RMSD upper bound
1,-5.7,0.000,0.000
2,-5.4,6.205,9.552
3,-5.4,1.033,1.670
4,-5.3,1.791,3.225
5,-5.2,2.458,3.165
6,-5.2,1.925,3.581
7,-5.2,3.173,9.121
8,-5.1,6.780,10.319
9,-5.1,5.259,7.992
