Mode,Affinity (kcal/mol),RMSD lower bound,RMSD upper bound
1,-6.1,0.000,0.000
2,-6.0,5.724,8.734
3,-5.9,0.734,1.197
4,-5.9,5.832,9.618
5,-5.8,8.728,11.104
6,-5.6,15.346,19.445
7,-5.5,3.010,3.402
8,-5.5,3.907,6.127
9,-5.5,3.359,9.384
