Mode,Affinity (kcal/mol),RMSD lower bound,RMSD upper bound
1,-6.3,0.000,0.000
2,-6.0,1.333,2.190
3,-5.9,0.841,1.685
4,-5.9,11.649,13.284
5,-5.7,3.782,5.204
6,-5.6,11.266,13.118
7,-5.6,11.719,13.306
8,-5.6,8.886,10.720
9,-5.5,6.089,8.755
