Mode,Affinity (kcal/mol),RMSD lower bound,RMSD upper bound
1,-6.0,0.000,0.000
2,-6.0,5.963,8.513
3,-6.0,6.187,8.799
4,-6.0,6.969,10.261
5,-6.0,9.390,10.767
6,-6.0,2.736,5.400
7,-5.9,6.354,8.477
8,-5.8,3.512,6.206
9,-5.8,1.877,2.572
