Mode,Affinity (kcal/mol),RMSD lower bound,RMSD upper bound
1,-7.3,0.000,0.000
2,-6.5,1.055,2.146
3,-6.5,9.655,12.324
4,-6.4,3.712,5.538
5,-6.3,4.684,7.925
6,-6.3,3.662,9.075
7,-6.3,2.419,9.302
8,-6.3,10.042,14.756
9,-6.2,3.331,5.133
