Mode,Affinity (kcal/mol),RMSD lower bound,RMSD upper bound
1,-4.9,0.000,0.000
2,-4.9,11.342,12.364
3,-4.8,10.525,12.227
4,-4.8,5.149,6.505
5,-4.7,1.162,1.908
6,-4.7,1.527,2.465
7,-4.7,1.663,2.045
8,-4.7,1.911,2.301
9,-4.6,4.123,5.117
