Mode,Affinity (kcal/mol),RMSD lower bound,RMSD upper bound
1,-5.7,0.000,0.000
2,-5.7,2.003,4.067
3,-5.6,1.640,3.004
4,-5.6,2.462,5.014
5,-5.5,1.367,1.762
6,-5.5,2.319,4.045
7,-5.5,2.001,3.169
8,-5.5,2.075,2.586
9,-5.5,0.774,2.013
