Mode,Affinity (kcal/mol),RMSD lower bound,RMSD upper bound
1,-5.2,0.000,0.000
2,-5.1,23.855,25.726
3,-5.0,3.048,5.371
4,-5.0,23.057,24.502
5,-5.0,2.882,3.929
6,-5.0,2.854,5.670
7,-4.9,22.836,24.259
8,-4.9,23.341,25.231
9,-4.9,2.700,5.311
