Mode,Affinity (kcal/mol),RMSD lower bound,RMSD upper bound
1,-7.0,0.000,0.000
2,-6.8,6.630,9.188
3,-6.7,7.534,9.744
4,-6.7,2.397,3.305
5,-6.6,1.422,2.146
6,-6.6,10.988,13.582
7,-6.5,11.754,14.613
8,-6.5,1.877,2.589
9,-6.5,10.292,13.896
