Mode,Affinity (kcal/mol),RMSD lower bound,RMSD upper bound
1,-5.6,0.000,0.000
2,-5.0,2.889,4.321
3,-5.0,21.886,24.476
4,-4.9,21.888,24.878
5,-4.9,1.134,1.846
6,-4.9,23.153,25.243
7,-4.8,2.670,4.885
8,-4.8,9.802,12.034
9,-4.6,7.108,9.320
