Mode,Affinity (kcal/mol),RMSD lower bound,RMSD upper bound
1,-6.6,0.000,0.000
2,-6.4,3.868,8.680
3,-6.3,14.731,16.870
4,-6.2,2.046,8.019
5,-6.1,1.923,3.089
6,-6.1,5.464,9.228
7,-6.0,2.736,3.827
8,-6.0,3.628,8.314
9,-5.9,3.237,8.642
