Mode,Affinity (kcal/mol),RMSD lower bound,RMSD upper bound
1,-5.2,0.000,0.000
2,-5.2,2.561,5.939
3,-5.1,2.378,3.245
4,-5.1,2.562,6.129
5,-5.1,2.999,4.903
6,-5.1,2.816,3.763
7,-4.9,3.625,6.426
8,-4.9,2.408,3.215
9,-4.9,2.149,5.881
