Mode,Affinity (kcal/mol),RMSD lower bound,RMSD upper bound
1,-6.5,0.000,0.000
2,-6.4,1.614,2.071
3,-6.4,2.167,9.961
4,-6.1,2.369,10.149
5,-6.0,2.109,10.284
6,-6.0,2.087,9.809
7,-5.9,20.769,24.664
8,-5.9,7.887,12.410
9,-5.8,2.796,4.435
