Mode,Affinity (kcal/mol),RMSD lower bound,RMSD upper bound
1,-7.1,0.000,0.000
2,-7.1,5.490,8.293
3,-7.1,3.013,4.186
4,-7.0,2.903,8.816
5,-7.0,3.113,6.318
6,-7.0,3.269,4.564
7,-7.0,1.902,2.998
8,-7.0,2.847,8.823
9,-6.9,6.139,9.509
