Mode,Affinity (kcal/mol),RMSD lower bound,RMSD upper bound
1,-5.2,0.000,0.000
2,-4.9,3.143,5.507
3,-4.8,13.255,13.943
4,-4.8,13.484,14.221
5,-4.7,12.518,13.178
6,-4.7,3.913,5.690
7,-4.7,11.897,13.071
8,-4.6,11.829,12.529
9,-4.6,13.563,14.328
