Mode,Affinity (kcal/mol),RMSD lower bound,RMSD upper bound
1,-5.9,0.000,0.000
2,-5.7,2.201,5.555
3,-5.7,2.297,3.186
4,-5.6,8.207,11.502
5,-5.6,2.535,6.006
6,-5.6,1.266,4.860
7,-5.6,2.481,3.880
8,-5.6,4.078,7.771
9,-5.5,3.130,6.008
