Mode,Affinity (kcal/mol),RMSD lower bound,RMSD upper bound
1,-7.2,0.000,0.000
2,-6.9,4.238,7.320
3,-6.9,7.185,9.864
4,-6.7,6.012,10.025
5,-6.7,5.273,9.237
6,-6.6,2.107,4.427
7,-6.6,4.110,7.481
8,-6.4,3.601,6.368
9,-6.3,15.631,18.759
