Mode,Affinity (kcal/mol),RMSD lower bound,RMSD upper bound
1,-6.2,0.000,0.000
2,-5.9,2.143,3.072
3,-5.9,7.167,10.333
4,-5.9,10.804,12.215
5,-5.8,4.059,5.084
6,-5.7,2.929,7.114
7,-5.7,2.561,5.613
8,-5.6,3.276,5.524
9,-5.6,3.554,4.345
