Mode,Affinity (kcal/mol),RMSD lower bound,RMSD upper bound
1,-7.1,0.000,0.000
2,-7.0,0.096,2.029
3,-6.9,3.542,6.585
4,-6.9,3.521,6.490
5,-6.7,3.858,6.158
6,-6.5,3.487,6.594
7,-6.4,3.174,6.061
8,-6.4,3.383,5.538
9,-6.4,3.553,6.360
