Mode,Affinity (kcal/mol),RMSD lower bound,RMSD upper bound
1,-7.2,0.000,0.000
2,-6.8,4.217,9.412
3,-6.8,2.834,3.968
4,-6.5,7.522,9.193
5,-6.4,3.999,4.730
6,-6.4,2.535,3.209
7,-6.4,3.539,4.365
8,-6.4,2.079,2.364
9,-6.4,2.064,2.569
