Mode,Affinity (kcal/mol),RMSD lower bound,RMSD upper bound
1,-6.4,0.000,0.000
2,-6.4,0.295,1.967
3,-6.2,2.669,8.424
4,-6.1,2.800,8.736
5,-6.0,3.953,7.134
6,-6.0,3.450,6.277
7,-5.9,4.229,9.953
8,-5.9,2.287,8.557
9,-5.9,3.206,9.119
