Mode,Affinity (kcal/mol),RMSD lower bound,RMSD upper bound
1,-6.9,0.000,0.000
2,-6.9,2.877,4.754
3,-6.8,2.422,3.823
4,-6.8,3.018,5.438
5,-6.8,3.239,5.289
6,-6.8,1.605,2.060
7,-6.7,1.663,2.259
8,-6.6,2.874,4.776
9,-6.5,3.274,5.662
