Mode,Affinity (kcal/mol),RMSD lower bound,RMSD upper bound
1,-6.5,0.000,0.000
2,-6.3,1.381,2.552
3,-6.1,1.990,3.357
4,-6.0,5.469,6.698
5,-5.8,23.550,26.750
6,-5.8,2.211,3.544
7,-5.7,12.315,14.046
8,-5.7,3.270,7.062
9,-5.7,25.014,27.169
