Mode,Affinity (kcal/mol),RMSD lower bound,RMSD upper bound
1,-6.7,0.000,0.000
2,-6.6,1.578,2.148
3,-6.6,4.230,7.210
4,-6.5,1.539,3.364
5,-6.4,1.833,2.633
6,-6.3,3.730,6.510
7,-6.3,3.986,7.135
8,-6.3,3.697,7.441
9,-6.2,2.576,5.969
