Mode,Affinity (kcal/mol),RMSD lower bound,RMSD upper bound
1,-6.1,0.000,0.000
2,-5.8,2.834,5.719
3,-5.8,3.258,6.204
4,-5.8,2.569,3.467
5,-5.7,1.572,3.336
6,-5.6,2.679,6.188
7,-5.5,6.489,9.046
8,-5.4,3.816,5.508
9,-5.4,3.354,6.853
