Mode,Affinity (kcal/mol),RMSD lower bound,RMSD upper bound
1,-7.9,0.000,0.000
2,-7.9,4.644,6.970
3,-7.7,4.983,7.269
4,-7.7,5.433,10.331
5,-7.6,4.725,9.091
6,-7.6,9.404,13.888
7,-7.5,5.771,10.644
8,-7.4,7.953,13.060
9,-7.4,5.025,7.386
