Mode,Affinity (kcal/mol),RMSD lower bound,RMSD upper bound
1,-5.9,0.000,0.000
2,-5.7,2.835,6.242
3,-5.5,2.038,4.461
4,-5.4,1.850,2.231
5,-5.3,3.119,5.448
6,-5.3,8.103,11.652
7,-5.3,8.931,11.170
8,-5.3,21.076,24.355
9,-5.1,21.461,24.733
