Mode,Affinity (kcal/mol),RMSD lower bound,RMSD upper bound
1,-6.8,0.000,0.000
2,-6.0,3.394,6.509
3,-6.0,3.676,5.356
4,-5.9,7.562,10.333
5,-5.8,3.126,7.052
6,-5.8,7.645,10.430
7,-5.8,9.653,12.169
8,-5.6,4.387,7.309
9,-5.6,6.184,9.236
