Mode,Affinity (kcal/mol),RMSD lower bound,RMSD upper bound
1,-7.3,0.000,0.000
2,-7.2,6.695,11.858
3,-7.1,6.474,12.284
4,-7.0,1.811,10.149
5,-7.0,1.041,10.529
6,-6.9,1.888,2.536
7,-6.9,0.893,2.367
8,-6.9,5.157,6.319
9,-6.9,6.231,8.793
