Mode,Affinity (kcal/mol),RMSD lower bound,RMSD upper bound
1,-6.5,0.000,0.000
2,-6.4,5.346,7.966
3,-6.1,4.729,8.586
4,-6.1,1.593,5.824
5,-5.9,4.974,8.236
6,-5.8,16.603,18.535
7,-5.7,1.532,4.678
8,-5.6,2.380,6.557
9,-5.5,9.857,13.708
