Mode,Affinity (kcal/mol),RMSD lower bound,RMSD upper bound
1,-5.4,0.000,0.000
2,-5.3,1.100,1.464
3,-5.0,7.979,10.160
4,-5.0,2.768,3.945
5,-4.9,11.232,14.186
6,-4.8,7.296,10.505
7,-4.8,2.156,2.779
8,-4.7,7.065,10.355
9,-4.7,4.601,8.011
