Mode,Affinity (kcal/mol),RMSD lower bound,RMSD upper bound
1,-7.8,0.000,0.000
2,-7.7,2.586,3.923
3,-7.5,1.635,2.423
4,-7.4,1.402,1.867
5,-7.3,6.939,9.509
6,-7.3,3.555,4.456
7,-7.2,4.380,5.985
8,-7.2,6.972,9.022
9,-7.1,3.417,5.762
