Mode,Affinity (kcal/mol),RMSD lower bound,RMSD upper bound
1,-6.7,0.000,0.000
2,-6.6,21.125,24.502
3,-6.5,21.404,24.840
4,-6.5,15.735,19.910
5,-6.5,22.043,25.556
6,-6.4,20.653,24.212
7,-6.4,20.947,24.588
8,-6.2,19.166,22.257
9,-6.2,14.276,16.717
