Mode,Affinity (kcal/mol),RMSD lower bound,RMSD upper bound
1,-7.4,0.000,0.000
2,-7.4,2.676,3.707
3,-7.3,2.513,3.507
4,-7.2,3.575,4.836
5,-7.2,1.867,2.821
6,-7.1,8.397,14.542
7,-7.1,2.825,3.854
8,-7.0,1.302,2.000
9,-7.0,2.596,4.135
