Mode,Affinity (kcal/mol),RMSD lower bound,RMSD upper bound
1,-7.2,0.000,0.000
2,-7.2,5.702,7.863
3,-7.2,2.875,3.714
4,-7.1,5.331,9.085
5,-7.0,8.557,13.282
6,-6.9,6.868,8.547
7,-6.7,6.664,11.195
8,-6.7,6.213,10.702
9,-6.7,7.631,9.690
