Mode,Affinity (kcal/mol),RMSD lower bound,RMSD upper bound
1,-6.3,0.000,0.000
2,-6.1,11.384,13.162
3,-6.0,10.518,12.449
4,-6.0,10.534,12.489
5,-5.9,0.578,2.095
6,-5.9,10.988,13.285
7,-5.9,10.868,13.076
8,-5.8,2.270,6.162
9,-5.8,13.013,14.228
