Mode,Affinity (kcal/mol),RMSD lower bound,RMSD upper bound
1,-5.9,0.000,0.000
2,-5.7,7.131,8.924
3,-5.6,1.492,2.141
4,-5.5,2.304,3.813
5,-5.5,5.108,7.850
6,-5.5,5.336,7.701
7,-5.4,6.874,8.666
8,-5.4,4.372,8.754
9,-5.3,11.817,13.961
