Mode,Affinity (kcal/mol),RMSD lower bound,RMSD upper bound
1,-7.4,0.000,0.000
2,-7.2,1.908,2.476
3,-7.0,3.504,11.332
4,-7.0,4.213,12.079
5,-7.0,4.095,12.465
6,-6.9,4.669,7.872
7,-6.9,2.793,10.490
8,-6.9,2.905,10.243
9,-6.9,13.326,19.514
