Mode,Affinity (kcal/mol),RMSD lower bound,RMSD upper bound
1,-6.4,0.000,0.000
2,-6.4,0.916,1.522
3,-6.4,5.662,8.688
4,-6.3,7.873,11.016
5,-6.2,2.627,5.029
6,-6.1,1.874,2.280
7,-6.1,2.255,8.092
8,-6.1,6.996,11.260
9,-6.1,6.404,10.353
