Mode,Affinity (kcal/mol),RMSD lower bound,RMSD upper bound
1,-5.6,0.000,0.000
2,-5.6,5.612,7.980
3,-5.6,1.012,1.848
4,-5.3,1.453,2.015
5,-5.2,5.420,8.389
6,-5.1,5.267,8.045
7,-5.1,2.033,2.893
8,-5.1,4.860,7.403
9,-5.0,5.308,7.912
