Mode,Affinity (kcal/mol),RMSD lower bound,RMSD upper bound
1,-7.1,0.000,0.000
2,-6.9,10.312,13.686
3,-6.7,11.231,13.988
4,-6.6,11.370,14.514
5,-6.3,4.414,7.384
6,-6.3,11.980,14.415
7,-6.2,3.880,6.141
8,-6.1,7.571,10.687
9,-6.0,3.707,7.357
