Mode,Affinity (kcal/mol),RMSD lower bound,RMSD upper bound
1,-6.7,0.000,0.000
2,-6.4,2.822,7.709
3,-6.1,1.979,2.614
4,-5.9,5.571,9.293
5,-5.9,4.863,7.687
6,-5.9,6.202,8.407
7,-5.9,4.563,7.837
8,-5.8,3.782,5.626
9,-5.7,3.519,5.431
