Mode,Affinity (kcal/mol),RMSD lower bound,RMSD upper bound
1,-6.1,0.000,0.000
2,-6.1,3.732,5.474
3,-5.9,9.190,11.750
4,-5.9,3.817,5.245
5,-5.9,1.469,2.547
6,-5.9,2.468,3.784
7,-5.9,2.903,4.140
8,-5.9,3.276,4.632
9,-5.8,3.097,6.178
