Mode,Affinity (kcal/mol),RMSD lower bound,RMSD upper bound
1,-7.7,0.000,0.000
2,-7.7,2.138,5.248
3,-7.4,2.064,3.234
4,-7.4,3.638,5.285
5,-7.3,5.313,9.889
6,-7.2,1.741,5.831
7,-7.1,2.118,5.236
8,-7.1,7.171,11.500
9,-7.1,4.181,8.809
